iter	Passed	Remaining
0	167	167218
1	183	91810
2	201	66887
3	217	54105
4	235	46824
5	251	41715
6	267	37988
7	285	35392
8	302	33357
9	320	31769
10	341	30692
11	360	29657
12	381	28937
13	402	28326
14	427	28044
15	451	27759
16	473	27402
17	497	27116
18	523	27036
19	548	26897
20	572	26707
21	599	26645
22	626	26613
23	652	26521
24	679	26493
25	705	26417
26	729	26306
27	756	26254
28	781	26182
29	808	26152
30	838	26207
31	864	26137
32	891	26137
33	919	26137
34	947	26133
35	973	26063
36	1004	26133
37	1034	26195
38	1061	26147
39	1088	26133
40	1118	26161
41	1147	26181
42	1176	26187
43	1206	26209
44	1236	26251
45	1267	26293
46	1296	26292
47	1324	26271
48	1354	26294
49	1382	26264
50	1411	26265
51	1440	26254
52	1470	26267
53	1501	26299
54	1528	26260
55	1558	26278
56	1587	26255
57	1617	26266
58	1647	26275
59	1674	26233
60	1703	26218
61	1732	26217
62	1762	26215
63	1789	26166
64	1819	26165
65	1848	26163
66	1878	26161
67	1905	26115
68	1932	26075
69	1962	26067
70	1990	26045
71	2017	25997
72	2045	25970
73	2077	25990
74	2105	25962
75	2135	25960
76	2163	25931
77	2191	25904
78	2220	25890
79	2248	25858
80	2278	25852
81	2309	25850
82	2340	25860
83	2367	25820
84	2397	25807
85	2426	25792
86	2456	25778
87	2484	25752
88	2513	25727
89	2543	25718
90	2571	25690
91	2599	25654
92	2627	25626
93	2653	25573
94	2683	25561
95	2712	25539
96	2742	25529
97	2774	25534
98	2802	25508
99	2831	25486
100	2862	25479
101	2893	25471
102	2923	25461
103	2954	25451
104	2984	25442
105	3014	25426
106	3045	25417
107	3075	25402
108	3105	25386
109	3131	25339
110	3163	25337
111	3194	25324
112	3220	25280
113	3248	25243
114	3278	25229
115	3307	25207
116	3336	25182
117	3366	25162
118	3397	25151
119	3426	25126
120	3455	25100
121	3483	25072
122	3510	25032
123	3542	25024
124	3571	25000
125	3601	24983
126	3633	24974
127	3663	24959
128	3692	24934
129	3719	24895
130	3748	24865
131	3775	24828
132	3803	24796
133	3837	24800
134	3867	24782
135	3898	24763
136	3927	24737
137	3955	24709
138	3982	24670
139	4008	24625
140	4038	24601
141	4070	24595
142	4101	24578
143	4132	24565
144	4161	24538
145	4192	24522
146	4222	24502
147	4261	24529
148	4290	24504
149	4318	24471
150	4348	24448
151	4378	24426
152	4407	24399
153	4437	24376
154	4465	24343
155	4494	24318
156	4526	24302
157	4554	24271
158	4581	24234
159	4608	24196
160	4637	24169
161	4668	24147
162	4697	24121
163	4726	24091
164	4755	24067
165	4784	24040
166	4814	24012
167	4842	23982
168	4870	23946
169	4899	23923
170	4925	23878
171	4954	23851
172	4983	23821
173	5012	23794
174	5041	23766
175	5072	23748
176	5104	23734
177	5135	23713
178	5163	23681
179	5193	23657
180	5225	23643
181	5256	23625
182	5285	23597
183	5315	23572
184	5342	23534
185	5370	23502
186	5399	23473
187	5428	23448
188	5459	23426
189	5488	23396
190	5517	23369
191	5547	23345
192	5577	23319
193	5606	23292
194	5635	23264
195	5666	23242
196	5698	23227
197	5727	23200
198	5759	23183
199	5786	23147
200	5814	23114
201	5843	23084
202	5872	23054
203	5901	23025
204	5926	22981
205	5956	22956
206	5986	22932
207	6014	22901
208	6043	22871
209	6072	22844
210	6101	22817
211	6131	22789
212	6161	22764
213	6191	22741
214	6220	22712
215	6252	22694
216	6280	22662
217	6309	22632
218	6337	22599
219	6369	22581
220	6398	22555
221	6425	22517
222	6451	22478
223	6479	22447
224	6504	22403
225	6529	22362
226	6555	22321
227	6582	22287
228	6612	22263
229	6641	22234
230	6668	22198
231	6697	22169
232	6725	22138
233	6751	22101
234	6779	22068
235	6808	22042
236	6836	22008
237	6864	21976
238	6890	21941
239	6918	21907
240	6944	21869
241	6970	21832
242	6998	21802
243	7026	21771
244	7055	21743
245	7083	21712
246	7111	21681
247	7137	21644
248	7164	21607
249	7191	21574
250	7246	21625
251	7283	21618
252	7311	21588
253	7340	21559
254	7367	21525
255	7394	21488
256	7421	21455
257	7446	21415
258	7475	21387
259	7502	21352
260	7529	21319
261	7554	21278
262	7579	21240
263	7607	21207
264	7636	21181
265	7663	21147
266	7694	21123
267	7722	21092
268	7750	21060
269	7777	21027
270	7803	20992
271	7833	20965
272	7859	20930
273	7887	20899
274	7915	20867
275	7941	20832
276	7969	20801
277	7996	20768
278	8025	20739
279	8051	20703
280	8077	20668
281	8105	20636
282	8132	20603
283	8160	20573
284	8186	20538
285	8214	20508
286	8240	20471
287	8265	20435
288	8291	20399
289	8319	20367
290	8347	20337
291	8377	20313
292	8404	20280
293	8430	20245
294	8458	20214
295	8484	20178
296	8510	20144
297	8538	20114
298	8563	20078
299	8592	20049
300	8623	20026
301	8653	19999
302	8682	19972
303	8707	19935
304	8733	19902
305	8758	19864
306	8786	19834
307	8819	19816
308	8844	19779
309	8871	19747
310	8897	19712
311	8923	19676
312	8948	19640
313	8974	19606
314	9002	19577
315	9030	19547
316	9057	19515
317	9084	19482
318	9110	19449
319	9138	19418
320	9165	19387
321	9191	19353
322	9221	19328
323	9247	19295
324	9274	19262
325	9300	19228
326	9325	19193
327	9352	19161
328	9378	19127
329	9403	19092
330	9431	19063
331	9459	19032
332	9485	18998
333	9512	18967
334	9541	18940
335	9568	18908
336	9594	18876
337	9623	18849
338	9652	18820
339	9682	18795
340	9709	18763
341	9738	18735
342	9764	18703
343	9789	18669
344	9816	18638
345	9843	18605
346	9869	18572
347	9897	18543
348	9922	18508
349	9950	18478
350	9976	18445
351	10002	18412
352	10027	18378
353	10056	18352
354	10083	18320
355	10111	18290
356	10135	18255
357	10162	18224
358	10189	18193
